Serial number,Repo name
1,ageitgey/face_recognition
2,deepfakes/faceswap
3,iperov/DeepFaceLab
4,LAION-AI/Open-Assistant
5,RasaHQ/rasa
6,iperov/DeepFaceLive
7,gunthercox/ChatterBot
8,ydataai/ydata-profiling
9,bbfamily/abu
10,ultralytics/ultralytics
11,FMInference/FlexGen
12,doccano/doccano
13,k4yt3x/video2x
14,scikit-learn-contrib/imbalanced-learn
15,lmcinnes/umap
16,Hironsan/BossSensor
17,thtrieu/darkflow
18,NicolasHug/Surprise
19,amdegroot/ssd.pytorch
20,okfn-brasil/serenata-de-amor
21,MaartenGr/BERTopic
22,lukas-blecher/LaTeX-OCR
23,KaiyangZhou/deep-person-reid
24,snipsco/snips-nlu
25,ThoughtfulDev/EagleEye
26,ravenscroftj/turbopilot
27,podgorskiy/ALAE
28,nateraw/stable-diffusion-videos
29,marqo-ai/marqo
30,raghakot/keras-vis
31,polakowo/vectorbt
32,ml-tooling/opyrator
33,keithito/tacotron
34,Cartucho/mAP
35,mljar/mljar-supervised
36,BayesWitnesses/m2cgen
37,GerevAI/gerev
38,anfederico/clairvoyant
39,kaonashi-tyc/zi2zi
40,RasaHQ/rasa_core
41,mne-tools/mne-python
42,yuchenlin/rebiber
43,benedekrozemberczki/awesome-community-detection
44,werner-duvaud/muzero-general
45,pytorch/audio
46,wzhe06/SparrowRecSys
47,spotify/basic-pitch
48,KichangKim/DeepDanbooru
49,lucidrains/reformer-pytorch
50,Luodian/Otter
51,iryna-kondr/scikit-llm
52,bigscience-workshop/promptsource
53,r9y9/deepvoice3_pytorch
54,idealo/image-quality-assessment
55,minimaxir/automl-gs
56,diffgram/diffgram
57,githubharald/SimpleHTR
58,amir-abdi/keras_to_tensorflow
59,bjoernkarmann/project_alias
60,Franck-Dernoncourt/NeuroNER
61,tradytics/surpriver
62,plasticityai/magnitude
63,kevinhughes27/TensorKart
64,xinshuoweng/AB3DMOT
65,sdv-dev/SDV
66,salu133445/musegan
67,google/uis-rnn
68,bfelbo/DeepMoji
69,datamade/usaddress
70,AxeldeRomblay/MLBox
71,samim23/polymath
72,trevorstephens/gplearn
73,DragonComputer/Dragonfire
74,jrieke/traingenerator
75,reiinakano/xcessiv
76,BindsNET/bindsnet
77,kritiksoman/GIMP-ML
78,benedekrozemberczki/CapsGNN
79,interpretml/DiCE
80,alan-turing-institute/CleverCSV
81,JonasGeiping/cramming
82,tucan9389/awesome-ml-demos-with-ios
83,uber-research/PPLM
84,LuChengTHU/dpm-solver
85,fedden/poker_ai
86,dynamicslab/pysindy
87,nilearn/nilearn
88,lorey/mlscraper
89,julvo/reloading
90,neuml/paperai
91,deepmedic/deepmedic
92,joeddav/devol
93,emedvedev/attention-ocr
94,sebp/scikit-survival
95,google/budoux
96,nautechsystems/nautilus_trader
97,nicrusso7/rex-gym
98,patrick-kidger/diffrax
99,edtechre/pybroker
100,oxwhirl/smac
101,scikit-multilearn/scikit-multilearn
102,stanfordnmbl/osim-rl
103,hendrycks/robustness
104,karpathy/arxiv-sanity-lite
105,benedekrozemberczki/graph2vec
106,chonyy/AI-basketball-analysis
107,BishopFox/eyeballer
108,ahmetozlu/vehicle_counting_tensorflow
109,pytorch/translate
110,budzianowski/multiwoz
111,DemonDamon/Listed-company-news-crawl-and-text-analysis
112,anantdgoel/ProjectFib
113,ssantoshp/Empyrial
114,asyml/texar-pytorch
115,jeongyoonlee/Kaggler
116,skrub-data/skrub
117,becauseofAI/MobileFace
118,asteroid-team/torch-audiomentations
119,fregu856/deeplabv3
120,ikergarcia1996/Self-Driving-Car-in-Video-Games
121,jankrepl/deepdow
122,scikit-multiflow/scikit-multiflow
123,yoeo/guesslang
124,mokemokechicken/reversi-alpha-zero
125,Decalogue/chat
126,OmkarPathak/pyresparser
127,chaos-genius/chaos_genius
128,gregversteeg/corex_topic
129,benedekrozemberczki/SimGNN
130,atomistic-machine-learning/schnetpack
131,locuslab/qpth
132,alegonz/baikal
133,lukasruff/Deep-SVDD-PyTorch
134,gcorso/DiffDock
135,linto-ai/whisper-timestamped
136,Minqi824/ADBench
137,rbbrdckybk/ai-art-generator
138,miguelvr/dropblock
139,kyleskom/NBA-Machine-Learning-Sports-Betting
140,kakao/buffalo
141,Mariewelt/OpenChem
142,patrick-kidger/NeuralCDE
143,Project-Splinter/MonoPort
144,mlcommons/ck
145,benedekrozemberczki/GraphWaveletNeuralNetwork
146,ahmetgunduz/Real-time-GesRec
147,stefanopini/simple-HRNet
148,taichi-dev/taichi-nerfs
149,fatiando/verde
150,pyRiemann/pyRiemann
